Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group_,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Gang,Gang_Ideology,Gang_Age_Joined,Gang_Radicalize,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
4493,California,San Jose,,,8/6/1970,3,,,-99,-99,-99,1,-88,5,1,10,1,3,-99,0,-88,,,-99,-99,,,-99,-88,-88,-88,-99,-99,-99,-88,-99,0,0,1,0,8,,,California,San Jose,,,-99,-99,-99,10,1,-99,-99,-99,,,,0,1,0,-99,-99,1,20,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,240,0,-88,-88,-88,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,,,-99,-99,0,-88,-88,-88,0,0,1,3,0
4498,Texas,Longview,,,7/4/1970,8,,,1,-99,-99,-99,-88,5,0,9,1,3,3,1,-88,,,-99,-99,,,0,-99,1,1,1,1,0,-88,-99,0,1,0,0,2,,,Texas,-99,,,-99,0,-99,9,5,1,0,7,,,,-99,1,0,-99,-99,2,42,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,504,0,-88,-88,-88,-99,0,-88,0,-99,3,-99,0,-99,1,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
4501,California,Compton,,,7/2/1970,3,,,-99,-99,-99,-99,-88,4,1,10,-88,-88,6,0,-88,,,-99,-99,,,-99,-88,-88,-88,-99,-99,-99,-88,-99,0,0,1,0,8,,,-99,-99,,,-99,-99,-99,9,4,-99,-99,-99,,,,-99,-99,-99,-99,-99,1,23,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,-99,1,-99,-99
4502,Illinois,Chicago,,,6/19/1970,3,,,0,0,0,1,-88,5,1,10,1,3,3,2,Black Panther Party,,,1,2,,,0,1,0,-99,-99,-99,-99,-88,-99,0,0,1,0,8,,,Illinois,-99,,,1,0,1,10,1,-99,-99,-99,,,,0,1,0,-99,0,1,24,1,0,-88,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,288,0,-88,-88,-88,4,1,-99,0,-99,3,0,0,1,1,2,0,0,-88,,,0,1,-99,-99,1,-99,0,0,0,-99,2,0,0,0,0,0,0,2,4,0,0,0,-88,-88,-88,-99,-99,1,2,-99
4505,Minnesota,St. Paul,,,5/22/1970,3,,,2,0,-99,1,-88,5,1,10,1,3,3,1,-88,,,-99,-99,,,-99,1,2,-99,1,2,-99,-88,-99,0,0,1,0,8,,,Minnesota,-99,,,-99,-99,2,10,5,-99,-99,-99,,,,-99,1,-99,2,-99,1,19,1,1,-99,1,-99,0,-88,-99,-99,United States of America,0,United States of America,228,0,-88,-88,-88,2,1,-99,1,-99,3,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,2,-99,-99,-99,-99,,,-99,3,0,-88,-88,-88,-99,-99,1,1,-99
4507,Washington,Seattle,,,5/15/1970,1,,,1,1,0,1,-88,4,0,9,-88,-88,7,2,Black Panther Party,,,0,-88,,,1,-99,1,-99,0,0,-88,-88,-99,0,0,1,0,8,,,Washington,Seattle,,,0,1,-99,9,1,-99,-99,2,,,,-99,-99,-99,-99,0,1,23,1,0,-88,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,276,0,-88,-88,-88,2,-99,-99,-99,-99,-99,3,0,1,1,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,0,0,0,,,-99,0,0,-88,-88,-88,-99,-99,-99,-99,-99
4508,Idaho,Lewiston,,,5/5/1970,4,,,0,1,0,-99,-88,5,0,9,1,3,0,0,-88,,,0,-88,,,0,-88,-88,-88,0,0,-88,-88,0,0,0,1,0,7,,,Idaho,-99,,,0,1,1,9,5,1,0,2,7,,,1,1,0,2,0,2,22,1,0,-88,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,264,0,-88,-88,-88,3,1,-99,4,-99,-88,3,0,1,-99,2,0,0,-88,,,1,0,0,-99,1,-99,2,1,-99,-99,1,-99,-99,-99,0,0,0,,,-99,3,0,-88,-88,-88,3,1,1,3,0
4510,Washington,Seattle,,,1/1/1970,4,,,2,2,0,-99,-88,4,0,9,1,3,3,2,Weather Underground,,,-99,-99,,,-99,-99,1,-99,-99,-99,-99,-88,-99,0,0,1,0,7,,,Washington,Seattle,,,1,-99,-99,9,-99,-99,-99,2,,,,-99,-99,-99,-99,-99,2,25,2,-99,-99,0,-99,-99,-99,-99,-99,United States of America,0,United States of America,300,0,-88,-88,-88,4,-99,-99,0,-99,1,0,0,2,2,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,3,-99
4511,Washington,Seattle,,,1/18/1970,4,,,-99,1,0,1,-88,4,0,9,1,3,5,2,Weather Underground,,,0,-88,,,1,0,1,624,0,0,-88,-88,-99,0,0,1,0,7,,,Washington,Seattle,Michigan,Detroit,1,0,-99,9,5,1,0,2,,,,-99,-99,0,-99,0,2,27,3,0,-88,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,324,0,-88,-88,-88,8,0,-88,-99,-88,3,0,0,1,1,-99,0,0,-88,,,0,0,0,0,1,-99,3,3,1,2,2,2,3,0,0,0,2,4,,-99,0,0,-88,-88,-88,-99,-99,1,3,0
4512,Illinois,-99,,,6/1/1970,2,,,-99,-99,-99,2,-88,5,1,10,1,3,0,2,Weather Underground,,,0,-88,,,2,-99,2,144,-99,-99,-99,-88,-99,0,0,1,0,7,,,Illinois,-99,,,1,-99,2,10,5,-99,-99,2,,,,0,0,0,-99,0,2,38,2,2,3,0,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,10,0,-88,-99,-99,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,3,0,-99,0,-99,,,-99,0,0,-88,-88,-88,-99,-99,-99,-99,-99
